date,location,level,code,course,trainer,company,Name,Email,score,certificate
2019-12-18,UK,2,Course-code_7,Course_7,Trainer_1,Company_1,Belinda,johnstonharold@example.com,Credit,ADFVD-47373
2019-12-18,UK,2,Course-code_7,Course_7,Trainer_1,Company_1,Tina,jocelyn38@example.com,Pass,ADFVD-47374
2019-12-18,UK,2,Course-code_7,Course_7,Trainer_1,Company_1,Daniel,richmondellen@example.com,Credit,ADFVD-47375
2019-12-18,UK,2,Course-code_7,Course_7,Trainer_1,Company_1,Nicole,jeffersoncheyenne@example.com,Credit,ADFVD-47376
2019-12-18,UK,2,Course-code_7,Course_7,Trainer_1,Company_65,Maurice,leroy24@example.org,Credit,ADFVD-47377
2019-12-13,Nigeria,2,Course-code_10,Course_10,Trainer_1,Company_1,Bryce,coreyeverett@example.org,Pass,ADFVD-46676
2019-12-13,Nigeria,2,Course-code_10,Course_10,Trainer_1,Company_1,Jaime,ebenjamin@example.net,Pass,ADFVD-46677
2019-12-13,Nigeria,2,Course-code_10,Course_10,Trainer_1,Company_1,Zachary,wesley61@example.org,Pass,ADFVD-46678
2019-12-13,Nigeria,2,Course-code_10,Course_10,Trainer_1,Company_1,Mike,edwardhenderson@example.com,Pass,ADFVD-46679
2019-12-13,Nigeria,2,Course-code_10,Course_10,Trainer_1,Company_1,Pam,isaiah50@example.net,Pass,ADFVD-46680
2019-12-09,South Africa,2,Course-code_18,Course_18,Trainer_3,Company_18,Ellen,zpowers@example.net,No Exam,
2019-12-09,South Africa,2,Course-code_18,Course_18,Trainer_3,Company_18,Bridget,graysheena@example.net,No Exam,
2019-12-09,South Africa,2,Course-code_18,Course_18,Trainer_3,Company_18,Katie,tescobar@example.org,No Exam,
2019-12-09,Nigeria,2,Course-code_18,Course_18,Trainer_3,Company_18,Chase,zsoto@example.net,No Exam,
2019-11-27,Nigeria,2,Course-code_7,Course_7,Trainer_2,Company_1,Ralph,elizabeth82@example.org,Credit,ADFVD-47367
2019-11-27,Nigeria,2,Course-code_7,Course_7,Trainer_2,Company_1,Candice,ublevins@example.com,Credit,ADFVD-47368
2019-11-27,Nigeria,2,Course-code_7,Course_7,Trainer_2,Company_1,Sean,cordovalawrence@example.com,Credit,ADFVD-47369
2019-11-27,Nigeria,2,Course-code_7,Course_7,Trainer_2,Company_1,Kelly,lucas53@example.org,Pass,ADFVD-47370
2019-11-22,Nigeria,2,Course-code_10,Course_10,Trainer_2,Company_1,Austin,ashleepatrick@example.org,Credit,ADFVD-46672
2019-11-22,Nigeria,2,Course-code_10,Course_10,Trainer_2,Company_1,Ross,jpennington@example.org,Credit,ADFVD-46673
2019-11-22,Nigeria,2,Course-code_10,Course_10,Trainer_2,Company_1,Linda,sarabarrera@example.com,Pass,ADFVD-46674
2019-11-22,Nigeria,2,Course-code_10,Course_10,Trainer_2,Company_1,Willie,vangkim@example.com,Credit,ADFVD-46675
2019-11-15,Nigeria,2,Course-code_10,Course_10,Trainer_1,Company_1,Donald,phillip46@example.com,Pass,ADFVD-46668
2019-11-15,Nigeria,2,Course-code_10,Course_10,Trainer_1,Company_1,Don,omullins@example.net,Pass,ADFVD-46669
2019-11-15,Nigeria,2,Course-code_10,Course_10,Trainer_1,Company_1,Theodore,bcuevas@example.org,Pass,ADFVD-46670
2019-11-15,Nigeria,2,Course-code_10,Course_10,Trainer_1,Company_1,Shaun,manuel65@example.org,Exam not taken,
2019-11-08,Nigeria,2,Course-code_10,Course_10,Trainer_1,Company_1,Karl,sheriliu@example.com,Credit,ADFVD-46664
2019-11-08,Nigeria,2,Course-code_10,Course_10,Trainer_1,Company_1,Lynn,forbesseth@example.com,Credit,ADFVD-46665
2019-11-08,Nigeria,2,Course-code_10,Course_10,Trainer_1,Company_1,Renee,kayleesims@example.org,Pass,ADFVD-46666
2019-11-08,Nigeria,2,Course-code_10,Course_10,Trainer_1,Company_1,Diana,eugene90@example.org,Pass,ADFVD-46667
2019-10-29,South Africa,3,Course-code_12,Course_12,Trainer_3,Company_89,Ross,emeyers@example.com,Exam not taken,
2019-10-29,Ghana,3,Course-code_12,Course_12,Trainer_3,Company_44,Cameron,hmolina@example.com,Exam not taken,
2019-10-29,Ghana,3,Course-code_12,Course_12,Trainer_3,Company_44,Hannah,dcalhoun@example.net,Exam not taken,
2019-10-29,Ghana,3,Course-code_12,Course_12,Trainer_3,Company_44,Nicolas,kzavala@example.net,Exam not taken,
2019-10-29,Ghana,3,Course-code_12,Course_12,Trainer_3,Company_44,Candace,martinvilla@example.org,Exam not taken,
2019-10-29,Ghana,3,Course-code_12,Course_12,Trainer_3,Company_44,Dwayne,herbert54@example.org,Exam not taken,
2019-10-29,Ghana,3,Course-code_12,Course_12,Trainer_3,Company_60,Makayla,bking@example.org,Exam not taken,
2019-10-29,Ghana,3,Course-code_12,Course_12,Trainer_3,Company_60,Evelyn,allisonmcmahon@example.net,Exam not taken,
2019-10-29,Ghana,3,Course-code_12,Course_12,Trainer_3,Company_89,Derek,marisa72@example.org,Exam not taken,
2019-10-24,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Keith,isuarez@example.net,Exam not taken,
2019-10-24,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Brian,jesusduffy@example.com,Exam not taken,
2019-10-24,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Dan,arthur87@example.net,Exam not taken,
2019-10-24,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Greg,stricklandmelinda@example.org,Exam not taken,
2019-10-24,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Ronald,lacey93@example.net,Exam not taken,
2019-10-24,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Marissa,calebrichards@example.org,Exam not taken,
2019-10-24,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Jackie,adamvazquez@example.net,Exam not taken,
2019-10-24,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Caitlin,sydneynorton@example.com,Exam not taken,
2019-10-24,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Annette,michaelbryant@example.net,Exam not taken,
2019-10-24,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Laurie,ralph55@example.net,Exam not taken,
2019-10-24,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Kendra,jasminquinn@example.com,Exam not taken,
2019-10-21,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Paige,kirkbrendan@example.org,Exam not taken,
2019-10-21,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Howard,glenncalderon@example.net,Exam not taken,
2019-10-21,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Mason,dicksonlogan@example.org,Exam not taken,
2019-10-21,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Mercedes,ucooley@example.com,Exam not taken,
2019-10-21,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Ernest,steve99@example.com,Exam not taken,
2019-10-21,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Arthur,sallydillon@example.com,Exam not taken,
2019-10-21,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Katherine,rachelfitzgerald@example.net,Exam not taken,
2019-10-21,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Meghan,martha36@example.org,Exam not taken,
2019-10-21,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Kaitlin,allen98@example.com,Exam not taken,
2019-10-21,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Ariel,uterrell@example.net,Exam not taken,
2019-10-21,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Terrance,priscillaspencer@example.org,Exam not taken,
2019-10-21,Ghana,2,Course-code_7,Course_7,Trainer_3,Company_44,Morgan,hannah71@example.net,Exam not taken,
2019-10-04,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_44,Meredith,jeff39@example.net,Exam not taken,
2019-10-04,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_44,Betty,ronaldpoole@example.com,Exam not taken,
2019-10-04,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_44,Dawn,lkidd@example.org,Exam not taken,
2019-10-04,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_44,Stuart,dmaldonado@example.net,Exam not taken,
2019-10-04,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_44,Gavin,asanders@example.org,Exam not taken,
2019-10-04,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_44,Valerie,mallory24@example.com,Exam not taken,
2019-10-04,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_60,Lindsay,arthursellers@example.com,Exam not taken,
2019-10-04,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_60,Erik,denisetyler@example.com,Exam not taken,
2019-10-04,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_60,Natalie,tamaramoss@example.net,Exam not taken,
2019-09-27,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_44,Paul,cynthiagibbs@example.com,Exam not taken,
2019-09-27,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_44,Amber,glen89@example.com,Exam not taken,
2019-09-27,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_44,Kerry,torresmeredith@example.net,Exam not taken,
2019-09-27,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_44,Donna,franklintheresa@example.net,Exam not taken,
2019-09-27,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_44,Lorraine,bonnie13@example.org,Exam not taken,
2019-09-27,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_44,Linda,tbraun@example.net,Exam not taken,
2019-09-27,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_60,Beverly,hmcknight@example.com,Exam not taken,
2019-09-27,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_60,Wesley,moniqueblankenship@example.com,Exam not taken,
2019-09-20,Kenya,2,Course-code_10,Course_10,Trainer_3,Company_60,Stephanie,urobinson@example.net,Exam not taken,
2019-09-20,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_44,Gabriel,alisonwallace@example.net,Exam not taken,
2019-09-20,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_44,Eugene,roberto61@example.net,Exam not taken,
2019-09-20,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_44,Johnathan,haasjade@example.com,Exam not taken,
2019-09-20,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_44,Jocelyn,shari97@example.com,Exam not taken,
2019-09-20,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_44,Chelsea,maddentricia@example.com,Exam not taken,
2019-09-20,Ghana,2,Course-code_10,Course_10,Trainer_3,Company_60,Darrell,prattivan@example.com,Exam not taken,
2019-09-02,South Africa,3,Course-code_9,Course_9,Trainer_3,Company_64,Jackson,kristopher51@example.com,No Exam,
2019-09-02,South Africa,3,Course-code_9,Course_9,Trainer_3,Company_64,Carl,ashleyrita@example.org,No Exam,
2019-08-26,South Africa,2,Course-code_10,Course_10,Trainer_3,Company_64,Rita,marciacannon@example.net,Pass,ADFVD-46698
2019-08-26,South Africa,2,Course-code_10,Course_10,Trainer_3,Company_64,Kathy,icook@example.net,Fail,
2019-08-23,Kenya,2,Course-code_10,Course_10,Trainer_2,Company_90,Kathleen,blanchardfrances@example.net,Pass,ADFVD-46643
2019-08-23,Kenya,2,Course-code_10,Course_10,Trainer_2,Company_90,Jorge,alecfarmer@example.net,Pass,ADFVD-46644
2019-08-23,Kenya,2,Course-code_10,Course_10,Trainer_2,Company_90,AlCompany 86s,maureen58@example.com,Pass,ADFVD-46645
2019-08-21,Nigeria,0,Course-code_15,Course_15,Trainer_1,Company_65,Fernando,alejandro98@example.net,No Exam,
2019-08-05,UK,0,Course-code_8,Course_8,Trainer_1,Company_16,Beverly,tricia52@example.com,No Exam,
2019-08-05,South Africa,2,Course-code_7,Course_7,Trainer_3,Company_52,Brenda,kramerkendra@example.net,Exam not taken,
2019-08-05,South Africa,2,Course-code_7,Course_7,Trainer_3,Company_52,Julia,herbertvargas@example.com,Exam not taken,
2019-07-29,South Africa,2,Course-code_10,Course_10,Trainer_3,Company_52,Dean,jhaynes@example.com,Pass,ADFVD-46696
2019-07-29,South Africa,2,Course-code_10,Course_10,Trainer_3,Company_52,Clifford,ytodd@example.org,Pass,ADFVD-46697
2019-07-04,Saudi Arabia,2,Course-code_10,Course_10,Trainer_1,Company_53,Dalton,steve65@example.net,Withdrew,
2019-07-04,Saudi Arabia,2,Course-code_10,Course_10,Trainer_1,Company_53,Cindy,ksnyder@example.net,Credit,ADFVD-46878
